mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
sad,0.584,0.442,0.612,5.7e-06,2,1,180.917,0.178
sad,0.465,0.434,0.104,0.000866,8,1,114.532,0.174
sad,0.945,0.397,0.142,0.00357,10,1,79.705,0.249
sad,0.953,0.418,0.111,0.00342,1,1,82.508,0.228
sad,0.848,0.528,0.513,0.0127,9,1,131.952,0.463
sad,0.172,0.742,0.546,0.38,1,1,104.996,0.868
sad,0.424,0.488,0.832,0.00288,0,1,157.984,0.554
sad,0.885,0.62,0.311,0.0342,5,1,92.962,0.406
sad,0.000825,0.445,0.543,0.0137,0,1,99.963,0.102
sad,0.723,0.602,0.478,0.00479,7,0,152.957,0.425
sad,0.945,0.265,0.237,0.000267,10,1,87.912,0.19
sad,0.947,0.41,0.0485,0,0,1,137.97,0.247
sad,0.747,0.599,0.427,0.105,5,1,73.801,0.111
sad,0.94,0.475,0.102,1.78e-06,7,1,85.168,0.347
sad,0.381,0.53,0.592,0,5,1,125.721,0.544
sad,0.245,0.639,0.526,2.43e-05,0,1,130.033,0.488
sad,0.818,0.713,0.221,1.72e-05,10,1,119.933,0.0494
sad,0.0767,0.384,0.617,0.00228,5,1,82.98,0.251
sad,0.848,0.622,0.244,5.96e-05,6,1,127.89,0.167
sad,0.723,0.602,0.478,0.00479,7,0,152.957,0.425
sad,0.97,0.392,0.0894,6.06e-05,3,1,87.641,0.195
sad,0.683,0.69,0.459,1.94e-06,4,1,89.941,0.501
sad,0.961,0.403,0.159,0.0121,1,0,72.38,0.0381
sad,0.908,0.617,0.196,0,1,1,101.156,0.39
sad,0.122,0.565,0.438,0.0469,7,1,133.949,0.211
sad,0.584,0.357,0.425,0,5,1,102.078,0.27
sad,0.41,0.518,0.496,0.1,10,1,143.921,0.281
sad,0.431,0.691,0.509,0.00682,8,1,113.961,0.473
sad,0.707,0.379,0.219,0.000691,5,1,79.786,0.188
sad,0.0949,0.651,0.696,0.903,7,1,130.27,0.62
sad,0.833,0.465,0.238,0,4,1,128.11,0.0383
sad,0.383,0.472,0.518,0.127,8,1,147.805,0.154
sad,0.199,0.56,0.595,6.47e-05,9,1,104.011,0.144
sad,0.797,0.589,0.352,1e-05,7,1,120.079,0.181
sad,0.542,0.404,0.664,0.00402,1,1,107.747,0.0949
sad,0.968,0.405,0.0854,0.0121,0,1,93.768,0.148
sad,0.027,0.506,0.507,8.59e-05,8,1,140.733,0.15
sad,0.456,0.84,0.344,3.36e-05,5,0,111.994,0.526
sad,0.499,0.436,0.409,0.000166,5,1,98.357,0.363
sad,0.734,0.397,0.235,1.56e-06,5,1,105.192,0.198
sad,0.779,0.454,0.287,0.753,5,1,130.637,0.054
sad,0.446,0.603,0.784,8.32e-06,6,1,172.041,0.769
sad,0.0588,0.471,0.881,0.000378,11,0,169.898,0.544
sad,0.934,0.286,0.0847,6.94e-06,2,1,70.743,0.112
sad,0.225,0.501,0.547,0.912,1,0,87.692,0.225
sad,0.15,0.807,0.354,0.713,9,1,78.964,0.602
sad,0.869,0.491,0.176,0.00375,7,1,120.06,0.122
sad,0.0965,0.458,0.561,0,10,1,149.875,0.206
sad,0.839,0.307,0.187,0.569,11,0,140.724,0.0945
sad,0.0887,0.462,0.574,0,3,1,109.256,0.184
sad,0.952,0.419,0.204,1.45e-05,10,1,135.141,0.154
sad,0.652,0.494,0.348,1.07e-05,9,0,104.923,0.134
sad,0.544,0.282,0.464,0.215,11,0,148.345,0.0596
sad,0.249,0.537,0.817,3.19e-06,10,0,147.05,0.397
sad,0.469,0.344,0.438,0.00155,7,0,110.479,0.248
sad,0.937,0.372,0.537,0.873,9,1,123.735,0.228
sad,0.36,0.445,0.786,0.0243,4,1,144.027,0.315
sad,9.93e-05,0.348,0.95,9.68e-06,10,0,168.964,0.377
sad,0.14,0.546,0.508,0.0966,7,1,72.013,0.484
sad,0.108,0.373,0.609,0.000427,0,1,179.955,0.354
sad,0.438,0.625,0.285,0.00279,1,0,140.02,0.357
sad,0.00283,0.526,0.447,0.0301,2,1,74.995,0.183
sad,0.422,0.656,0.348,0.00527,5,1,178.046,0.533
sad,0.701,0.559,0.422,1.99e-06,11,1,74.002,0.191
neutral,0.221,0.679,0.688,2.46e-05,1,1,120.005,0.805
neutral,0.52,0.416,0.516,0,0,1,95.404,0.56
neutral,0.808,0.652,0.152,0.422,7,0,130.47,0.0742
neutral,0.789,0.668,0.392,0.00275,2,0,135.936,0.323
neutral,0.44,0.606,0.532,0,3,1,81.332,0.405
neutral,0.393,0.628,0.676,6.94e-05,6,1,78.996,0.723
neutral,0.33,0.759,0.436,0.0113,0,0,94.03,0.782
neutral,0.201,0.818,0.623,0,9,0,120.104,0.968
neutral,0.0811,0.691,0.66,0,7,1,100.002,0.535
neutral,0.585,0.612,0.565,0.00174,5,1,89.895,0.545
neutral,0.597,0.641,0.533,2.35e-06,10,1,156.995,0.64
neutral,0.535,0.688,0.505,0.482,7,1,121.046,0.767
neutral,0.403,0.708,0.554,0.0428,10,0,103.999,0.564
neutral,0.154,0.73,0.355,0.00155,10,0,142.143,0.56
neutral,0.13,0.826,0.745,1.32e-05,2,1,119.92,0.883
neutral,0.734,0.852,0.61,5.97e-06,2,1,117.99,0.713
neutral,0.172,0.742,0.546,0.38,1,1,104.996,0.868
neutral,0.0549,0.819,0.687,0.0573,2,0,104.019,0.961
